lemma	word	gloss	example_sentence
substantial%5:00:00:wholesome:00	substantial	providing abundant nourishment	ate a [substantial] breakfast
substantial%5:00:00:sound:01	substantial	of good quality and condition; solidly built	several [substantial] timber buildings
sure%3:00:00::	sure	having or feeling no doubt or uncertainty; confident and assured	was [sure] ( or certain ) she had seen it
sure%5:00:00:careful:00	sure	exercising or taking care great enough to bring assurance	be [sure] to lock the doors
sure%3:00:04::	sure	certain to occur; destined or inevitable; ; ; - Benjamin Franklin	sudden but [sure] regret
sure%5:00:00:secure:02	sure	physically secure or dependable	a [sure] footing
sure%5:00:00:reliable:00	sure	reliable in operation or effect	a [sure] way to distinguish the two
sure%5:00:00:steady:00	sure	certain not to fail	a [sure] hand on the throttle
tender%3:00:03::	tender	given to sympathy or gentleness or sentimentality	a [tender] heart
tender%5:00:00:painful:00	tender	hurting	the [tender] spot on his jaw
tender%5:00:00:young:00	tender	young and immature	at a [tender] age
tender%5:00:00:loving:00	tender	having or displaying warmth or affection	a [tender] glance
tender%3:00:01::	tender	easy to cut or chew	[tender] beef
thin%3:00:01::	thin	of relatively small extent from one surface to the opposite or in cross section	[thin] wire
thin%3:00:03::	thin	lacking excess flesh; ; -Shakespeare	you ca n't be too rich or too [thin]
thin%5:00:00:narrow:00	thin	very narrow	a [thin] line across the page
thin%5:00:00:distributed:00	thin	not dense	a [thin] beard
thin%3:00:02::	thin	relatively thin in consistency or low in density; not viscous	air is [thin] at high altitudes
thin%3:00:04::	thin	(of sound) lacking resonance or volume	a [thin] feeble cry
thin%5:00:00:spiritless:00	thin	lacking spirit or sincere effort	a [thin] smile
thin%5:00:01:insignificant:00	thin	"lacking substance or significance; ; ; ; a fragile claim to fame"""	a [thin] plot
tough%3:00:03::	tough	not given to gentleness or sentimentality	a [tough] character
tough%5:00:01:difficult:00	tough	very difficult; severely testing stamina or resolution	the competition was [tough]
tough%3:00:02::	tough	physically toughened	the [tough] bottoms of his feet
tough%5:00:00:rugged:00	tough	substantially made or constructed	a [tough] all - weather fabric
tough%5:00:00:violent:00	tough	violent and lawless	[tough] street gangs
tough%5:00:00:bad:00	tough	unfortunate or hard to bear	a [tough] break
wide%3:00:00::	wide	having great (or a certain) extent from one side to the other	[wide] roads
wide%5:00:00:comprehensive:00	wide	broad in scope or content; ; ; ; ; - T.G.Winner	granted him [wide] powers
wide%5:00:00:open:08	wide	(used of eyes) fully open or extended	stared with [wide] eyes
wide%5:00:00:large:00	wide	very large in expanse or scope	the [wide] plains
wide%3:00:02::	wide	great in degree	won by a [wide] margin
wide%5:00:00:ample:00	wide	having ample fabric	the current taste for [wide] trousers
wide%5:00:00:inaccurate:00	wide	not on target	the kick was [wide]
wrong%3:00:02::	wrong	not correct; not in conformity with fact or truth	the report in the paper is [wrong]
wrong%3:00:01::	wrong	contrary to conscience or morality or law	it is [wrong] for the rich to take advantage of the poor
wrong%5:00:00:inappropriate:00	wrong	not appropriate for a purpose or occasion	said all the [wrong] things
wrong%5:00:00:malfunctioning:00	wrong	not functioning properly	something is [wrong] with the engine
wrong%3:00:04::	wrong	based on or acting or judging in error	it is [wrong] to think that way
wrong%5:00:02:improper:00	wrong	not in accord with established usage or procedure	the [wrong] medicine
