Synset('put.v.01')		He <b>posed</b> his shoulders.	appose	"arrange, set_up"	barrel	bed	bottle	bucket	butt	clap	cock	coffin	cram	dispose	docket	emplace	emplace	"ensconce, settle"	"glycerolize, glycerolise"	ground	imbricate	"insert, enclose, inclose, stick_in, put_in, introduce"	"install, instal, put_in, set_up"	intersperse	jar	juxtapose	ladle	"lay, put_down, repose"	lean	load	marshal	middle	"misplace, mislay, lose"	misplace	"nestle, snuggle"	parallelize	park	perch	pigeonhole	pile	"pillow, rest"	"plant, set"	plant	poise	position	postpose	prepose	rack_up	recess	recline	"replace, put_back"	repose	reposition	rest	"seat, sit, sit_down"	seat	seat	set	set_down	"set_down, put_down, place_down"	"settle, settle_down"	shelve	ship	sign	siphon	"situate, fix, posit, deposit"	"sow, seed"	space	"stand, stand_up, place_upright"	step	stratify	"superimpose, superpose, lay_over"	superpose	"tee, tee_up"	"throw, thrust"	throw	trench	underlay	upend																																														
Synset('rush.v.03')		The new teacher tends to <b>rush</b>.																																																																																																																											
Synset('draw.v.05')		Mud was <b>pulling</b> at her feet.	unsheathe																																																																																																																										
Synset('cover.v.18')		The meat was <b>covered</b> in a fatty gravy.																																																																																																																											
Synset('confuse.v.02')		My brain is <b>confused</b> after the bottle of champagne.	demoralize	"disorient, disorientate"	"perplex, vex, stick, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound"																																																																																																																								
Synset('experience.v.01')		The ex-slave <b>experienced</b> freedom shortly before she died.	come	enjoy	feel	"know, experience, live"	"suffer, endure"	"suffer, meet"	"witness, find, see"																																																																																																																				
Synset('transform.v.01')		Braque <b>transformed</b> collage into oil.																																																																																																																											
Synset('tug.v.02')		She <b>labored</b> for years to make a decent living.	"strive, reach, strain"																																																																																																																										
Synset('want.v.02')		This piano <b>requires</b> the attention of a competent tuner.	cry																																																																																																																										
Synset('have.v.02')		He always <b>has</b> a smile.	"abound, burst, bristle"	bear	brim	bristle	"carry, pack, take"	carry	carry	carry	give_off	"imply, involve"	possess	"read, say"	"sport, feature, boast"	star	"unite, combine"	"wear, bear"	wear	wear																																																																																																									
Synset('remove.v.05')		Her optimism <b>removed</b> these worries.																																																																																																																											
Synset('bet.v.02')		Which horse are you <b>betting</b> on.	"bet_on, back, gage, stake, game, punt"	play	raise	see																																																																																																																							
Synset('eject.v.01')		The ex-boxers job is to <b>eject</b> people who want to enter this private club.	bounce	evict	"evict, force_out"	"exorcise, exorcize"	show_the_door																																																																																																																						
Synset('believe.v.01')		I cant <b>believe</b> this story.	believe	believe_in	buy	swallow	"trust, swear, rely, bank"	"understand, infer"																																																																																																																					
Synset('represent.v.09')		The painting seems to <b>represent</b> the essence of Spring.	"animalize, animalise"	capture	draw	"graph, chart"	map	"model, mock_up"	paint	"picture, depict, render, show"	"portray, depict, limn"	"portray, present"	profile	"sensualize, carnalize"	silhouette	"stylize, stylise, conventionalize"																																																																																																													
Synset('arouse.v.01')		Islam is <b>provoking</b> Africa.	anger	draw	excite	"hurt, wound, injure, bruise, offend, spite"	infatuate	"inflame, stir_up, wake, ignite, heat, fire_up"	interest	"invite, ask_for"	"overwhelm, overpower, sweep_over, whelm, overcome, overtake"	prick	rekindle	shame	"stimulate, shake, shake_up, excite, stir"	"strike_a_chord, touch_a_chord"	"upset, discompose, untune, disconcert, discomfit"																																																																																																												
Synset('flood.v.03')		The company planned to <b>oversupply</b> the market with tennis shoes.																																																																																																																											
Synset('fuel.v.04')		This could <b>stimulate</b> the debate on creationism.																																																																																																																											
Synset('rejoice.v.01')		Make the peoples hearts <b>rejoiced</b>.	"cheer, cheer_up, chirk_up"	"exult, walk_on_air, be_on_cloud_nine, jump_for_joy"	gladden																																																																																																																								
Synset('cope.v.01')		I cant <b>cope with</b> it anymore.	fend	"hack, cut"	"improvise, extemporize"	"meet, match, cope_with"	"scrape_along, scrape_by, scratch_along, squeak_by, squeeze_by, rub_along"																																																																																																																						
Synset('match.v.01')		The colors dont <b>match</b>.	adhere	align	answer	"befit, suit, beseem"	coincide	consist	correlate	"corroborate, underpin, bear_out, support"	"harmonize, harmonise, consort, accord, concord, fit_in, agree"	homologize	look	"meet, fit, conform_to"	parallel	pattern	resemble	"rhyme, rime"	square	"twin, duplicate, parallel"																																																																																																									
Synset('corrupt.v.01')		The society was <b>corrupted</b> by racism.	"bastardize, bastardise"	infect	"lead_off, lead_astray"	poison	"sensualize, sensualise, carnalize, carnalise"	suborn																																																																																																																					
Synset('fudge.v.01')		They tried to <b>falsify</b> an account so as to hide a deficit.	juggle																																																																																																																										
Synset('address.v.04')		They wanted to <b>address</b> criticism or charges at somebody.																																																																																																																											
Synset('cheer.v.04')		After a glass of wine he <b>cheered</b> up a bit.	"exuberate, exult, rejoice, triumph, jubilate"	"lighten, lighten_up, buoy_up"																																																																																																																									
Synset('form.v.01')		They wanted to <b>organize</b> a theater production.	choose_up	draw_up	regiment	"reorganize, reorganise, regroup"	syndicate																																																																																																																						
Synset('corrupt.v.01')		You should never <b>corrupt</b> someone's mind.	"bastardize, bastardise"	infect	"lead_off, lead_astray"	poison	"sensualize, sensualise, carnalize, carnalise"	suborn																																																																																																																					
Synset('mean.v.01')		Im afraid this <b>means</b> trouble!	aim	"drive, get, aim"	signify	"spell, import"	"typify, symbolize, symbolise, stand_for, represent"																																																																																																																						
Synset('delight.v.02')		You should <b>delight</b> in your success!	"have_a_ball, have_a_good_time"	live_it_up	wallow																																																																																																																								
