sense	class	confidence	sentence
culminate%2:30:02::	literal	0.6	The helmet <b>culminated</b> in a crest.
curl%2:30:00::	metaphorical	0.5	The cigar smoke <b>curled</b> up at the ceiling.
curl%2:38:00::	metaphorical	0.5	She <b>curled</b> farther down under the covers.
curl%2:35:00::	literal	1.0	<b>Curl</b> my hair, please.
dance%2:38:01::	literal	0.9	The young girl <b>danced</b> into the room.
dance%2:36:00::	literal	0.9583	My husband and I like to <b>dance</b> at home to the radio.
dance%2:38:02::	literal	0.8	The children <b>danced</b> with joy.
dash%2:38:00::	literal	0.8	She <b>dashed</b> into the yard
dash%2:35:02::	literal	0.7	He <b>dashed</b> the plate against the wall
dash%2:41:00::	metaphorical	0.5	<b>dashed</b> ambitions and hopes
dash%2:37:00::	metaphorical	0.6	<b>dashed</b> by the refusal
dash%2:30:01::	literal	0.6	blue paint <b>dashed</b> with white
date%2:31:02::	literal	1.0	The package is <b>dated</b> November 24
date%2:31:00::	literal	0.7	Scientists often cannot <b>date</b> precisely archeological or prehistorical findings
date%2:31:01::	literal	0.9	She wrote the letter on Monday but she <b>dated</b> it Saturday so as not to reveal that she procrastinated
dawn%2:31:13::	metaphorical	0.7	It <b>dawned</b> on him that she had betrayed him
dawn%2:42:01::	metaphorical	0.7	The age of computers had <b>dawned</b>
dawn%2:30:00::	literal	0.8	It started to <b>dawn,</b> and we had to get up
debut%2:36:02::	literal	0.8	The band <b>debuts</b> a new song or two each month
debut%2:36:00::	literal	0.8	The new ballet that <b>debuts</b> next months at Covent Garden, is already sold out
debut%2:36:01::	literal	0.9	This young soprano <b>debuts</b> next month at the Metropolitan Opera
decide%2:31:00::	literal	0.9	We finally <b>decided</b> after lengthy deliberations
decide%2:31:01::	literal	0.9	The case was <b>decided</b>
decide%2:31:02::	literal	0.8	This new development finally <b>decided</b> me!
decide%2:31:06::	literal	0.8	The vote in New Hampshire often <b>decides</b> the outcome of the Presidential election
declare%2:32:00::	literal	0.9	He <b>declared</b> that he needed more money to carry out the task he was charged with
declare%2:32:05::	literal	0.9	The President <b>declared</b> war
declare%2:32:01::	literal	0.9	He <b>declared</b> that he was innocent
declare%2:32:04::	literal	0.9	She was <b>declared</b> incompetent
declare%2:32:03::	literal	0.9	Do you have anything to <b>declare?</b>
declare%2:32:06::	literal	0.8	His wife <b>declared</b> at once for moving to the West Coast
decline%2:32:00::	literal	0.7	he <b>declined</b> to join the group on a hike
decline%2:38:00::	literal	0.9	The roof <b>declines</b> here
decline%2:32:01::	literal	0.8	in many languages, speakers <b>decline</b> nouns, pronouns, and adjectives
deflate%2:35:00::	literal	1.0	<b>deflate</b> the air mattress
deflate%2:32:00::	metaphorical	0.6	The bad review of his work <b>deflated</b> his self-confidence
deflate%2:30:11::	metaphorical	1.0	The new measures <b>deflated</b> the economy
deflate%2:30:10::	metaphorical	0.7	<b>deflate</b> the currency
deflate%2:30:00::	literal	1.0	The balloons <b>deflated</b>
deform%2:35:00::	literal	0.9	the heat <b>deformed</b> the plastic sculpture
deform%2:30:00::	literal	0.9	The sidewalk <b>deformed</b> during the earthquake
deform%2:30:01::	literal	0.9	His body was <b>deformed</b> by leprosy
dehydrate%2:30:02::	literal	1.0	You should carry <b>dehydrated</b> food on your camping trip.
dehydrate%2:30:01::	literal	0.92	All this exercise and sweating has <b>dehydrated</b> me.
dehydrate%2:30:00::	literal	1.0	In the desert, you get <b>dehydrated</b> very quickly.
demand%2:32:00::	literal	0.8	The victim's family is <b>demanding</b> compensation
demand%2:32:02::	literal	1.0	The bank <b>demanded</b> payment of the loan
demand%2:32:06::	literal	0.9	I <b>demand</b> an explanation
denote%2:32:01::	literal	0.7	Her smile <b>denoted</b> that she agreed
denote%2:32:00::	literal	0.6	`multi-' <b>denotes</b> `many' 
denote%2:32:02::	literal	0.7	She <b>denoted</b> her feelings clearly
depress%2:37:00::	literal	0.6	These news <b>depressed</b> her
depress%2:38:00::	metaphorical	0.6	The glut of oil <b>depressed</b> gas prices
depress%2:35:12::	metaphorical	0.6	The lack of rain had <b>depressed</b> the water level in the reservoir
depress%2:30:00::	literal	0.6	The rising inflation <b>depressed</b> the economy
desert%2:31:00::	literal	0.8	The mother <b>deserted</b> her children
desert%2:41:00::	literal	1.0	If soldiers <b>deserted</b> Hitler's army, they were shot
desert%2:38:02::	literal	0.7	the students <b>deserted</b> the campus after the end of exam period
design%2:31:00::	literal	0.7	This room is not <b>designed</b> for work.
design%2:36:01::	literal	1.0	Chanel <b>designed</b> the famous suit.
design%2:36:00::	literal	0.6	It is difficult to <b>design</b> a better mousetrap.
design%2:36:07::	literal	0.8947	Dupont <b>designs</b> for the house of Chanel.
design%2:36:09::	metaphorical	0.6	She <b>designed</b> a good excuse for not attending classes that day.
design%2:31:06::	literal	0.5417	She <b>designed</b> to go far in the world of business.
devour%2:35:00::	metaphorical	0.7	Fire had <b>devoured</b> our home
devour%2:37:00::	metaphorical	1.0	She <b>devoured</b> his novels
devour%2:34:00::	literal	0.9	he <b>devoured</b> three sandwiches
digest%2:34:00::	literal	1.0	I cannot <b>digest</b> milk products
digest%2:31:00::	metaphorical	0.6	I cannot <b>digest</b> all this information
digest%2:30:02::	literal	0.9	Protein <b>digests</b> in a few hours
digest%2:30:01::	metaphorical	0.8	the government <b>digested</b> the entire law into a code
discolor%2:30:01::	literal	0.9	The painting <b>discolored</b>.
discolor%2:30:02::	literal	1.0	The detergent <b>discolored</b> my shirts.
discolor%2:30:00::	literal	1.0	The shirts <b>discolored</b>.
dismiss%2:32:00::	literal	0.8	She <b>dismissed</b> his advances
dismiss%2:32:02::	literal	0.9	This case is <b>dismissed!</b>
dismiss%2:32:01::	literal	1.0	I was <b>dismissed</b> after I gave my report
distil%2:30:04::	literal	0.7	The acid <b>distills</b> at a specific temperature
distil%2:30:02::	literal	0.9	<b>distill</b> the essence of this compound
distil%2:29:00::	literal	0.9	The doctor <b>distilled</b> a few drops of disinfectant onto the wound
distill%2:30:02::	literal	0.8	<b>distill</b> the essence of this compound
distill%2:30:04::	literal	0.9	The acid <b>distills</b> at a specific temperature
distill%2:29:00::	literal	0.9	The doctor <b>distilled</b> a few drops of disinfectant onto the wound
divide%2:41:00::	literal	1.0	<b>divide</b> the cake into three equal parts
divide%2:31:00::	literal	0.8	Can you <b>divide</b> 49 by seven?
divide%2:42:00::	literal	0.7	The mountain range <b>divides</b> the two countries
double%2:30:00::	literal	0.9	The population <b>doubled</b> within 50 years
double%2:38:00::	literal	0.6	He <b>doubled</b> and vomited violently
double%2:35:01::	literal	0.7	She <b>doubles</b> as his wife and secretary
down%2:34:00::	metaphorical	0.7	He <b>downed</b> three martinis before dinner.
down%2:34:01::	metaphorical	0.7	Some people can <b>down</b> a pound of meat in the course of one meal.
down%2:35:00::	metaphorical	0.5	The policeman <b>downed</b> the heavily armed suspect.
downsize%2:41:00::	metaphorical	0.5	Three secretaries were <b>downsized</b> during the financial crisis.
downsize%2:30:01::	metaphorical	0.5	The car makers <b>downsized</b> the SUVs when fuel became very expensive.
downsize%2:30:00::	literal	0.7	The company <b>downsized</b> its research staff.
drain%2:38:00::	literal	0.9	The rain water <b>drains</b> into this big vat.
drain%2:34:00::	metaphorical	0.8	The exercise class <b>drains</b> me of energy.
drain%2:30:01::	literal	0.9	We <b>drained</b> the oil tank.
drain%2:30:04::	metaphorical	0.9091	Life in the camp <b>drained</b> him.
drift%2:30:00::	literal	1.0	snow <b>drifting</b> several feet high
drift%2:42:03::	metaphorical	1.0	stock prices are <b>drifting</b> higher
drift%2:42:00::	metaphorical	0.6	My son <b>drifted</b> around for years in California before going to law school
drift%2:38:05::	metaphorical	0.5	The unknown young man <b>drifted</b> among the invited guests
drift%2:38:06::	literal	0.9	<b>drift</b> the boats downstream
drift%2:35:03::	literal	0.7	<b>drift</b> the cattle herds westwards
drift%2:30:10::	metaphorical	0.6	The stock market <b>drifted</b> upward
drink%2:34:00::	literal	0.9	The patient must <b>drink</b> several liters each day
drink%2:34:01::	literal	1.0	We were up <b>drinking</b> all night
drink%2:31:00::	metaphorical	0.7	The mother <b>drinks</b> in every word of her son on the stage
drink%2:34:02::	literal	1.0	The husband <b>drinks</b> and beats his wife
drown%2:35:00::	metaphorical	0.7	I was <b>drowned</b> in work
drown%2:30:02::	metaphorical	0.7	She <b>drowned</b> her trouble in alcohol
drown%2:30:00::	literal	1.0	The child <b>drowned</b> in the lake
drown%2:30:01::	literal	1.0	He <b>drowned</b> the kittens
dull%2:35:01::	literal	0.8	Age had <b>dulled</b> the surface
dull%2:30:00::	literal	0.9	the varnished table top <b>dulled</b> with time
dull%2:35:02::	literal	0.8	Too much cutting <b>dulls</b> the knife's edge
dull%2:30:01::	metaphorical	0.8	Middle age <b>dulled</b> her appetite for travel
dump%2:40:00::	literal	0.9	No <b>dumping</b> in these woods!
dump%2:40:02::	metaphorical	0.7	The company <b>dumped</b> him after many years of service
dump%2:38:00::	literal	0.9	The truck <b>dumped</b> the garbage in the street
ease%2:38:00::	literal	0.7	He <b>eased</b> himself into the chair
ease%2:29:00::	literal	0.9	<b>ease</b> the pain in your legs
ease%2:37:00::	literal	0.6	The news <b>eased</b> my conscience
eat%2:34:00::	literal	1.0	She was <b>eating</b> a banana
eat%2:34:01::	literal	1.0	We did not <b>eat</b> until 10 P.M. because there were so many phone calls
eat%2:34:02::	literal	1.0	This dog doesn't <b>eat</b> certain kinds of meat
emerge%2:30:00::	literal	0.8	Suddenly, the proprietor <b>emerged</b> from his office
emerge%2:30:01::	metaphorical	0.7	Some nice results <b>emerged</b> from the study
emerge%2:38:00::	literal	0.7	He felt new emotions <b>emerge</b>
end%2:30:01::	literal	0.96	She <b>ended</b> their friendship when she found out that he had once been convicted of a crime.
end%2:42:01::	literal	0.6957	This sad scene <b>ended</b> the movie.
end%2:36:13::	literal	0.8	The terrible news <b>ended</b> our hopes that he had survived.
engrave%2:35:00::	literal	1.0	<b>engraved</b> the trophy cupt with the winner's
engrave%2:37:00::	metaphorical	0.8	The event <b>engraved</b> itself into her memory
engrave%2:35:01::	literal	1.0	<b>engrave</b> the pen with the owner's name
erase%2:30:00::	metaphorical	0.6	The Turks <b>erased</b> the Armenians in 1915
erase%2:35:00::	literal	1.0	Please <b>erase</b> the formula on the blackboard--it is wrong!
erase%2:32:00::	literal	0.9	Who <b>erased</b> the files form my hard disk?
erupt%2:30:02::	metaphorical	0.5	Unrest <b>erupted</b> in the country
erupt%2:30:04::	metaphorical	0.5	The tooth <b>erupted</b> and had to be extracted
erupt%2:30:00::	literal	1.0	Vesuvius <b>erupts</b> once in a while
erupt%2:30:06::	metaphorical	0.5	A rash <b>erupted</b> on her arms after she had touched the exotic plant
escape%2:38:00::	literal	0.9	The convicted murderer <b>escaped</b> from a high security prison
escape%2:41:00::	metaphorical	0.5	We <b>escaped</b> to our summer house for a few days
escape%2:30:04::	literal	0.7	Gas <b>escaped</b> into the bedroom
excavate%2:39:00::	literal	0.9	Schliemann <b>excavated</b> Troy.
excavate%2:35:02::	literal	1.0	Carnegie had a lake <b>excavated</b> for Princeton University's rowing team.
excavate%2:35:01::	literal	0.9	The mining company wants to <b>excavate</b> the hillside.
exclude%2:31:01::	literal	0.9	The bad results were <b>excluded</b> from the report
exclude%2:42:00::	literal	0.9	The cost for the trip <b>excludes</b> food and beverages
exclude%2:35:00::	literal	0.9	The unruly student was <b>excluded</b> from the game
excuse%2:32:00::	literal	0.8	Please <b>excuse</b> my dirty hands
excuse%2:32:04::	literal	0.9	Please <b>excuse</b> me from this class
excuse%2:32:03::	literal	0.8	Your need to sleep late does not <b>excuse</b> your late arrival at work
excuse%2:32:02::	literal	0.8	<b>excuse</b> someone's behavior
execute%2:41:00::	literal	0.9	In some states, criminals are <b>executed</b>
execute%2:41:01::	literal	0.9	The Mafioso who collaborated with the police was <b>executed</b>
execute%2:36:00::	literal	0.6	<b>execute</b> the decision of the people
execute%2:41:03::	literal	0.6	<b>execute</b> a will or a deed
execute%2:32:00::	literal	0.6	The President <b>executed</b> the treaty
exhaust%2:29:00::	literal	0.7	This kind of work <b>exhausts</b> me.
exhaust%2:40:00::	metaphorical	0.8	One should not <b>exhaust</b> one's savings.
exhaust%2:30:00::	metaphorical	0.7	We have <b>exhausted</b> the food supplies.
expect%2:31:00::	literal	0.8	The meteorologists are <b>expecting</b> rain for tomorrow
expect%2:31:01::	literal	0.8	We were <b>expecting</b> a visit from our relatives
expect%2:31:05::	literal	0.9	I'm <b>expecting</b> a full explanation as to why these files were destroyed
expect%2:29:02::	literal	0.6	She is <b>expecting</b> in March
explode%2:30:01::	literal	0.9	We <b>exploded</b> the nuclear bomb
explode%2:30:00::	literal	0.9	The champagne bottle <b>exploded</b>
explode%2:31:00::	metaphorical	0.8	The boss <b>exploded</b> when he heard of the resignation of the secretary
explode%2:35:00::	literal	1.0	The enemy <b>exploded</b> the bridge
exploit%2:34:00::	literal	0.8	He <b>exploit</b> the new taxation system
exploit%2:34:01::	literal	0.7	we must <b>exploit</b> the resources we are given wisely
exploit%2:41:00::	literal	0.9	he is <b>exploiting</b> the students
express%2:32:03::	literal	0.6667	Can you <b>express</b> this distance in kilometers?
express%2:39:09::	metaphorical	0.7	Many of the laboratory animals <b>express</b> the trait.
express%2:35:11::	literal	0.6	Italians <b>express</b> coffee rather than filter it.
express%2:32:09::	literal	0.7	She <b>expressed</b> the letter to Florida.
face%2:42:02::	literal	0.7	The two sofas <b>face</b> each other.
face%2:38:00::	metaphorical	0.5	Turn and <b>face</b> your partner now.
face%2:35:00::	metaphorical	0.5	A glossy material <b>faced</b> the lapels of the jacket.
face%2:35:01::	metaphorical	0.5	The building was <b>faced</b> with beautiful stones.
factor%2:31:00::	literal	0.7	a quantum computer can <b>factor</b> the number 15
factor%2:40:00::	literal	0.8	make things <b>factor</b> into a company's profitability
factor%2:31:01::	literal	0.7	You must <b>factor</b> in the recent developments
fasten%2:35:01::	literal	0.9	He <b>fastened</b> the lock onto the door.
fasten%2:35:00::	literal	0.8	This dress <b>fastens</b> in the back.
fasten%2:35:03::	metaphorical	0.6	They <b>fastened</b> various nicknames to each other.
fear%2:37:03::	literal	0.8	I <b>fear</b> she might get aggressive
fear%2:37:00::	literal	0.7	I <b>fear</b> the winters in Moscow
fear%2:37:02::	literal	0.6	I <b>fear</b> I won't make it to your wedding party
fear%2:37:13::	literal	0.6	I <b>fear</b> the results of the final exams
ferment%2:37:01::	metaphorical	0.7	The Middle East is <b>fermenting</b>
ferment%2:37:00::	metaphorical	0.6	Islam is <b>fermenting</b> Africa
ferment%2:30:01::	literal	1.0	We <b>ferment</b> the grapes for a very long time to achieve high alcohol content
fill%2:30:01::	metaphorical	0.6	<b>fill</b> the child with pride
fill%2:30:00::	literal	0.9	The pool slowly <b>filled</b> with water
fill%2:42:00::	literal	0.9	The liquid <b>fills</b> the container
fill%2:34:01::	literal	0.6	He <b>filled</b> up on turkey
finish%2:30:02::	literal	0.7	He <b>finished</b> the dishes
finish%2:35:00::	literal	0.9	The carpenter <b>finished</b> the table beautifully
finish%2:30:03::	literal	0.6	That <b>finished</b> me with Mary
fire%2:41:00::	literal	0.7	The boss <b>fired</b> his secretary today
fire%2:38:02::	literal	0.6	The soldiers were <b>fired</b>
fire%2:40:00::	literal	0.8	Oil <b>fires</b> the furnace
fit%2:42:02::	literal	0.9	This piece won't <b>fit</b> into the puzzle
fit%2:30:01::	literal	0.9	He <b>fitted</b> other pieces of paper to his cut-out
fit%2:30:02::	literal	0.9	Can you <b>fit</b> the toy into the box?
fit%2:42:03::	literal	0.8	How does this shirt <b>fit?</b>
flap%2:38:00::	literal	0.8	flags <b>flapped</b> in the strong wind
flap%2:38:03::	literal	0.9	The bird <b>flapped</b> its wings
flap%2:38:02::	literal	1.0	The bird's wings were <b>flapping</b>
flare%2:43:00::	metaphorical	0.6	Every star seemed to <b>flare</b> with new intensity.
flare%2:30:00::	literal	0.6	The bellbottom pants <b>flare</b> out.
flare%2:43:01::	metaphorical	0.8	The night sky <b>flared</b> with the massive bombardment.
flash%2:39:00::	literal	1.0	The lights were <b>flashing</b>
flash%2:30:03::	literal	0.7	The headlines <b>flashed</b> on the screen
flash%2:32:00::	metaphorical	0.7	The latest intelligence is <b>flashed</b> to all command posts
flash%2:39:02::	metaphorical	0.5	he <b>flashed</b> a $100 bill
flash%2:30:04::	literal	0.9	A shooting star <b>flashed</b> and was gone
flick%2:39:00::	literal	0.6	The lights <b>flicked</b> on and off.
flick%2:35:03::	literal	0.8	He <b>flicked</b> a piece of paper across the table.
flick%2:35:01::	metaphorical	0.6	The father <b>flicked</b> him with his hand.
float%2:38:02::	literal	0.9	He <b>floated</b> the logs down the river
float%2:41:03::	metaphorical	0.7	The Republicans are <b>floating</b> the idea of a tax reform
float%2:38:04::	metaphorical	0.7	The dancer <b>floated</b> across the stage
float%2:31:00::	metaphorical	0.7	The government <b>floated</b> the ruble for a few months
flood%2:30:00::	literal	1.0	The swollen river <b>flooded</b> the village
flood%2:40:00::	metaphorical	0.7	<b>flood</b> the market with tennis shoes
flood%2:30:01::	literal	0.9	Our basement <b>flooded</b> during the heavy rains
flow%2:38:01::	metaphorical	0.7	The crowd <b>flowed</b> out of the stadium
flow%2:38:00::	literal	1.0	Water <b>flowed</b> into the cave
flow%2:38:02::	metaphorical	0.5	The artist <b>flowed</b> the washes on the paper
flow%2:42:00::	metaphorical	0.5	The champagne <b>flowed</b> at the wedding
flush%2:30:00::	literal	0.6	The garbage <b>flushed</b> down the river
flush%2:39:00::	metaphorical	0.7	the sky <b>flushed</b> with rosy splendor
flush%2:30:01::	metaphorical	0.5	<b>flush</b> the wound with antibiotics
form%2:41:00::	literal	0.8	social groups <b>form</b> everywhere
form%2:42:00::	metaphorical	0.5	This wall <b>forms</b> the background of the stage setting
form%2:30:01::	metaphorical	0.6	<b>form</b> the young child's character
form%2:30:05::	literal	0.7	the water <b>formed</b> little beads
fracture%2:30:01::	metaphorical	0.7368	This writer really <b>fractures</b> the language.
fracture%2:36:00::	metaphorical	0.9	These events could <b>fracture</b> the balance of power.
fracture%2:30:10::	literal	0.96	The pothole <b>fractured</b> a bolt on the axle.
fracture%2:29:02::	literal	1.0	The tibia <b>fractured</b> from the blow of the iron pipe.
fuel%2:40:00::	literal	1.0	<b>fuel</b> aircraft, ships, and cars
fuel%2:40:03::	literal	0.9	The tanker <b>fueled</b> in Bahrain
fuel%2:37:00::	metaphorical	0.7	<b>fuel</b> the debate on creationism
gag%2:39:00::	metaphorical	0.7	The press was <b>gagged</b>
gag%2:35:07::	literal	1.0	The burglars <b>gagged</b> the home owner and tied him to a chair
gag%2:32:00::	literal	0.9	The students were <b>gagging</b> during dinner
gag%2:29:00::	literal	1.0	he swallowed a fishbone and <b>gagged</b>
gain%2:33:00::	literal	0.7	The home team was <b>gaining</b> ground
gain%2:30:00::	literal	0.7	The stock market <b>gained</b> 24 points today
gain%2:30:01::	literal	0.7	the peace movement <b>gained</b> momentum
gain%2:29:00::	literal	0.9	She <b>gained</b> 20 pounds when she stopped exercising
gallop%2:38:00::	literal	0.7	He was <b>galloping</b> down the road
gallop%2:38:01::	literal	0.9	The horse was <b>galloping</b> along
gallop%2:38:03::	literal	0.9	Did you <b>gallop</b> the horse just now?
gather%2:32:00::	metaphorical	0.9	I <b>gather</b> you have not done your homework.
gather%2:35:05::	literal	0.7	She <b>gathered</b> her shawl around her shoulders.
gather%2:35:04::	literal	0.9	Our ancestors <b>gathered</b> nuts in the Fall.
glare%2:29:00::	literal	0.8	The girl <b>glared</b> at the man who tried to make a pass at her
glare%2:43:01::	metaphorical	0.7	The moon <b>glared</b> back at itself from the lake's surface
glare%2:39:01::	metaphorical	0.7	The sun <b>glared</b> down on us
glow%2:39:00::	literal	1.0	The fireflies were <b>glowing</b> and flying about in the garden
glow%2:39:01::	metaphorical	0.6	Her face <b>glowed</b> when she came out of the sauna
glow%2:43:00::	literal	0.9	The coals were <b>glowing</b> in the dark
glow%2:37:01::	metaphorical	0.9	Make the people's hearts <b>glow</b>
govern%2:41:01::	literal	0.6	His belief in God <b>governs</b> his conduct
govern%2:41:00::	literal	0.9	Who is <b>governing</b> the country now?
govern%2:42:00::	metaphorical	0.5	most transitive verbs <b>govern</b> the accusative case in German
grab%2:38:02::	literal	1.0	The passenger <b>grabbed</b> for the oxygen mask
grab%2:35:05::	literal	1.0	She <b>grabbed</b> the child's hand and ran out of the room
grab%2:31:00::	metaphorical	0.8	This story will <b>grab</b> you
gravitate%2:42:01::	metaphorical	0.7	The conversation <b>gravitated</b> towards politics
gravitate%2:42:00::	literal	0.6	Boys <b>gravitate</b> towards girls at that age
gravitate%2:38:00::	literal	0.7	The stars <b>gravitate</b> towards each other
grind%2:30:00::	literal	1.0	<b>grind</b> the spices in a mortar
grind%2:36:05::	literal	0.9	<b>grind</b> designs into the glass bowl
grind%2:36:04::	literal	1.0	<b>grind</b> lenses for glasses and cameras
grope%2:35:01::	literal	1.0	She <b>groped</b> for her glasses in the darkness of the bedroom
grope%2:41:00::	metaphorical	0.8	His mind <b>groped</b> to make the connection
grope%2:35:02::	literal	0.9	He made some sexual advances at the woman in his office and <b>groped</b> her repeatedly
grow%2:30:14::	literal	1.0	The tree trunks had <b>grown</b> together
grow%2:30:02::	literal	1.0	Corn doesn't <b>grow</b> here
grow%2:30:01::	literal	1.0	He <b>grows</b> vegetables in his backyard
guard%2:41:00::	literal	1.0	There will be men <b>guarding</b> the horses.
guard%2:33:00::	literal	0.7	Please <b>guard</b> my possessions while I'm away.
guard%2:41:01::	metaphorical	0.8	This vaccine will <b>guard</b> you against infection.
gutter%2:43:00::	metaphorical	0.5	The cooling lava continued to <b>gutter</b> toward lower ground.
gutter%2:38:00::	metaphorical	0.7	Tears <b>guttered</b> down her face.
gutter%2:35:00::	metaphorical	0.6	The heavy rain <b>guttered</b> the soil.
gutter%2:34:00::	literal	0.8	The roofer began to <b>gutter</b> the buildings.
hack%2:41:00::	metaphorical	0.7	I can't <b>hack</b> it anymore
hack%2:35:01::	literal	0.9	he <b>hacked</b> his way through the forest
hack%2:30:01::	literal	0.7	I'm not very good at <b>hacking</b> but I'll give it my best
hack%2:29:00::	literal	0.6	The patient with emphysema is <b>hacking</b> all day
hail%2:32:02::	literal	0.6	The critics <b>hailed</b> the young pianist as a new Rubinstein
hail%2:42:00::	literal	0.6	She <b>hails</b> from Kalamazoo
hail%2:43:00::	literal	1.0	It <b>hailed</b> for an hour
harmonize%2:42:00::	metaphorical	0.7	The colors don't <b>harmonize</b>
harmonize%2:30:03::	literal	0.7	<b>harmonize</b> the different interests
harmonize%2:30:02::	metaphorical	0.6	<b>harmonize</b> one's goals with one's abilities
head%2:38:00::	literal	0.7	where is she <b>heading</b>
head%2:41:00::	literal	0.7	Who is <b>heading</b> this project?
head%2:38:02::	metaphorical	0.5	The procession was <b>headed</b> by John
head%2:42:01::	metaphorical	0.5	This student <b>heads</b> the class
head%2:42:05::	metaphorical	0.6	These rivers <b>head</b> from a mountain range in the Himalayas
head%2:42:00::	literal	0.6	The list was <b>headed</b> by the name of the president
head%2:42:04::	metaphorical	0.6	The wheat <b>headed</b> early this year
heap%2:40:00::	metaphorical	0.6	He <b>heaped</b> him with work
heap%2:35:00::	literal	1.0	<b>heap</b> firewood around the fireplace
heap%2:30:00::	literal	0.8	<b>heap</b> the platter with potatoes
help%2:41:00::	literal	0.9	Everyone <b>helped</b> out during the earthquake
help%2:29:00::	literal	0.9	These pills will <b>help</b> the patient
help%2:42:00::	literal	0.8	This will <b>help</b> to prevent accidents
help%2:42:08::	literal	0.8	I can't <b>help</b> myself--I have to smoke
help%2:34:00::	literal	0.9	I served him three times, and after that he <b>helped</b> himself
help%2:41:12::	literal	0.8	This money will <b>help</b> the development of literacy in developing countries
help%2:34:04::	literal	0.8	She <b>helped</b> herself to some of the office supplies
help%2:30:13::	metaphorical	0.5	New slipcovers will <b>help</b> the old living room furniture
hunt%2:33:00::	literal	1.0	Goering often <b>hunted</b> wild boars in Poland
hunt%2:38:00::	literal	1.0	The <b>hunters</b> traced the deer into the woods
hunt%2:38:03::	literal	0.6	They <b>hunted</b> the unwanted immigrants out of the neighborhood
hunt%2:38:05::	metaphorical	0.7	The oscillator <b>hunts</b> about the correct frequency
hunt%2:35:03::	metaphorical	0.5	She <b>hunted</b> for her reading glasses but was unable to locate them
hunt%2:33:02::	literal	0.8	The King used to <b>hunt</b> these forests
hurt%2:29:01::	literal	0.9	This exercise will <b>hurt</b> your back
hurt%2:30:04::	literal	0.7	Our business was <b>hurt</b> by the new competition
hurt%2:37:00::	metaphorical	0.5	She <b>hurt</b> me when she did not include me among her guests
hurt%2:39:01::	literal	0.9	Were you <b>hurting</b> after the accident?
ignite%2:43:00::	literal	0.9	Great heat can <b>ignite</b> almost any dry matter
ignite%2:43:01::	literal	0.9	Marsh gases <b>ignited</b> suddenly
ignite%2:37:00::	metaphorical	0.7	The ostentatious way of living of the rich <b>ignites</b> the hatred of the poor
immigrate%2:30:01::	literal	0.7	only few plants can <b>immigrate</b> to the island
immigrate%2:30:02::	literal	0.9	Britain <b>immigrated</b> many colonists to America
immigrate%2:30:00::	literal	0.9	Many people <b>immigrated</b> at the beginning of the 20th century
impress%2:37:01::	literal	0.8	This child <b>impressed</b> me as unusually mature
impress%2:37:00::	literal	0.9	The young chess player <b>impressed</b> her audience
impress%2:35:00::	literal	0.6	To make a batik, you <b>impress</b> a design with wax
incline%2:39:00::	literal	0.6	He <b>inclined</b> his ear to the wise old man
incline%2:38:01::	literal	0.9	She <b>inclined</b> her head to the student
incline%2:37:00::	metaphorical	0.5	She <b>inclines</b> to the view that people should be allowed to expres their religious beliefs
incline%2:31:03::	metaphorical	0.9	Their language <b>inclines</b> us to believe them
include%2:42:00::	literal	0.9	The list <b>includes</b> the names of many famous writers
include%2:31:00::	literal	0.8	I <b>include</b> you in the list of culprits
include%2:30:00::	literal	0.9	We must <b>include</b> this chemical element in the group
indicate%2:32:01::	literal	0.8	These symptoms <b>indicate</b> a serious illness
indicate%2:32:00::	literal	0.8	<b>indicated</b> his wishes in a letter
indicate%2:32:04::	literal	0.8	Tetracycline is <b>indicated</b> in such cases
induct%2:41:00::	literal	0.9	There was a ceremony to <b>induct</b> the president of the Academy.
induct%2:41:03::	literal	1.0	We were <b>inducted</b> into the honor society.
induct%2:32:00::	literal	0.68	The young geisha was <b>inducted</b> into the ways of her profession.
infect%2:29:01::	literal	0.8	Your children have <b>infected</b> you with this head cold
infect%2:41:02::	metaphorical	0.7	society was <b>infected</b> by racism
infect%2:31:01::	metaphorical	0.6	His laughter <b>infects</b> everyone who is in the same room
inflate%2:30:01::	metaphorical	0.7	The charges were <b>inflated</b>
inflate%2:30:11::	metaphorical	0.5	The war <b>inflated</b> the economy
inflate%2:30:10::	metaphorical	0.6	<b>inflate</b> the currency
inform%2:32:00::	literal	0.9	I <b>informed</b> him of his rights
inform%2:30:00::	literal	0.7	The principles that <b>inform</b> modern teaching
inform%2:32:10::	literal	0.8	She had <b>informed</b> on her own parents for years
inherit%2:40:00::	literal	0.9	I <b>inherited</b> a castle from my French grandparents
inherit%2:40:02::	literal	0.7	The new chairman <b>inherited</b> many problems from the previous chair
inherit%2:40:01::	literal	0.9	I <b>inherited</b> my good eyesight from my mother
inject%2:29:00::	literal	1.0	We <b>injected</b> the glucose into the patient's vein
inject%2:30:00::	metaphorical	0.8	He <b>injected</b> new life into the performance
inject%2:35:00::	literal	1.0	<b>inject</b> hydrogen into the balloon
interrupt%2:32:00::	literal	0.9	We <b>interrupt</b> the program for the following messages
interrupt%2:30:03::	literal	0.9	Don't <b>interrupt</b> me when I'm reading
interrupt%2:30:04::	literal	0.9	Please don't <b>interrupt</b> me while I'm on the phone
